epoch,x,y,z
0,0,0,0
1.53471E+12,-1.720703125,-1.508789063,2.672363281
1.53471E+12,-1.719726563,-1.812011719,2.693847656
1.53471E+12,-1.188476563,-2.768066406,3.280273438
1.53471E+12,-1.104492188,-3.619140625,4.408203125
1.53471E+12,-1.296875,-3.916992188,4.605957031
1.53471E+12,-1.32421875,-3.596191406,4.352050781
1.53471E+12,-1.508789063,-3.614257813,3.555664063
1.53471E+12,-1.637207031,-3.450683594,2.786621094
1.53471E+12,-1.524902344,-2.688476563,2.286132813
1.53471E+12,-1.486328125,-2.033203125,1.87109375
1.53471E+12,-1.58203125,-1.551757813,1.399414063
1.53471E+12,-1.558105469,-1.246582031,1.010253906
1.53471E+12,-1.423828125,-1.153808594,0.690917969
1.53471E+12,-1.279296875,-1.175292969,0.411132813
1.53471E+12,-1.193359375,-1.219238281,0.220214844
1.53471E+12,-1.240234375,-1.262207031,0.13671875
1.53471E+12,-1.389648438,-1.385742188,0.093261719
1.53471E+12,-1.487792969,-1.467285156,0.048828125
1.53471E+12,-1.610351563,-1.515136719,-0.023925781
1.53471E+12,-1.647460938,-1.519042969,-0.074707031
1.53471E+12,-1.608886719,-1.522949219,-0.051269531
1.53471E+12,-1.576660156,-1.505859375,-0.013183594
1.53471E+12,-1.441894531,-1.469726563,0.025878906
1.53471E+12,-1.232910156,-1.424804688,0.057128906
1.53471E+12,-0.955566406,-1.434570313,0.081054688
1.53471E+12,-0.640136719,-1.424804688,-0.035644531
1.53471E+12,0.015625,-1.315917969,-0.504882813
1.53471E+12,1.032714844,-0.793457031,-1.662597656
1.53471E+12,2.31640625,0.743652344,-2.506835938
1.53471E+12,3.743164063,1.035644531,-2.926757813
1.53471E+12,5.041503906,0.263183594,-3.416503906
1.53471E+12,3.842285156,0.619140625,-4
1.53471E+12,3.111328125,0.225097656,-3.088378906
1.53471E+12,1.616210938,-0.901367188,-1.190917969
1.53471E+12,-0.052246094,-1.690917969,-0.294921875
1.53471E+12,-0.817382813,-2.106445313,0.001953125
1.53471E+12,-1.260742188,-2.051757813,0.052246094
1.53471E+12,-1.6796875,-1.914550781,0.049804688
1.53471E+12,-1.654785156,-1.840332031,0.225585938
1.53471E+12,-1.558105469,-1.573730469,0.345703125
1.53471E+12,-1.52734375,-1.380859375,0.355957031
