epoch,x,y,z
0,0,0,0
1.53471E+12,-1.326171875,-2.006835938,0.684570313
1.53471E+12,-1.202148438,-1.899414063,1.369628906
1.53471E+12,-1.686523438,-2.514160156,2.516601563
1.53471E+12,-1.839355469,-3.243164063,5.95703125
1.53471E+12,-5.647949219,-2.962890625,7.9375
1.53471E+12,-4.163574219,-4.306640625,2.849121094
1.53471E+12,-1.661621094,-4.729003906,2.624511719
1.53471E+12,-3.174804688,-4.412597656,2.034179688
1.53471E+12,-3.250976563,-3.625488281,1.227050781
1.53471E+12,-2.961914063,-2.547363281,0.295410156
1.53471E+12,-2.453613281,-1.770507813,0.504882813
1.53471E+12,-1.958984375,-1.643066406,0.487792969
1.53471E+12,-1.635742188,-1.50390625,0.16796875
1.53471E+12,-1.579589844,-1.44921875,-0.000488281
1.53471E+12,-1.547851563,-1.608398438,-0.124511719
1.53471E+12,-1.4609375,-1.759277344,-0.339355469
1.53471E+12,-1.358398438,-1.830566406,-0.389648438
1.53471E+12,-1.370117188,-1.842285156,-0.372070313
1.53471E+12,-1.437988281,-1.91015625,-0.440917969
1.53471E+12,-1.547851563,-1.947265625,-0.485839844
1.53471E+12,-1.581054688,-1.931640625,-0.427246094
1.53471E+12,-1.604980469,-1.919921875,-0.3046875
1.53471E+12,-1.603027344,-1.938964844,-0.265625
1.53471E+12,-1.518066406,-1.828125,-0.345214844
1.53471E+12,-1.341308594,-1.721191406,-0.305175781
1.53471E+12,-0.736328125,-1.732910156,-0.256835938
1.53471E+12,0.248535156,-1.621582031,-0.572265625
1.53471E+12,1.145019531,-1.051269531,-0.974121094
1.53471E+12,2.724609375,-0.270996094,-1.322265625
1.53471E+12,3.816894531,0.155273438,-1.844726563
1.53471E+12,4.440917969,-0.313476563,-2.739257813
1.53471E+12,4.631347656,-0.133300781,-2.981445313
1.53471E+12,3.829589844,0.040527344,-2.609375
1.53471E+12,2.850585938,-0.142089844,-2.027832031
1.53471E+12,1.308105469,-0.791503906,-1.375976563
1.53471E+12,-0.066894531,-1.368164063,-0.725585938
1.53471E+12,-0.799316406,-1.611816406,-0.374511719
1.53471E+12,-0.986328125,-1.851074219,-0.37890625
1.53471E+12,-1.765625,-1.966796875,-0.404296875
1.53471E+12,-2.179199219,-2.084960938,-0.208496094
1.53471E+12,-1.943847656,-1.92578125,0.034667969
1.53471E+12,-1.830078125,-1.766601563,0.131347656
1.53471E+12,-1.680175781,-1.715332031,0.033691406
1.53471E+12,-1.66015625,-1.600097656,-0.203613281
1.53471E+12,-1.74609375,-1.600585938,-0.151855469
1.53471E+12,-1.497070313,-1.613769531,0.062011719
1.53471E+12,-1.211914063,-1.541992188,0.053710938
1.53471E+12,-1.173828125,-1.544433594,-0.206542969
0,0,0,0
1.53471E+12,-1.369628906,-1.673828125,-0.083984375
1.53471E+12,-1.326660156,-1.78125,0.439941406
1.53471E+12,-1.325195313,-1.571777344,0.931152344
1.53471E+12,-1.744628906,-1.745605469,1.73828125
1.53471E+12,-2.395019531,-2.146484375,2.3671875
1.53471E+12,-3.334960938,-2.764648438,3.051269531
1.53471E+12,-5.26171875,-3.266601563,3.688476563
1.53471E+12,-6.139160156,-3.586914063,3.169433594
1.53471E+12,-5.541015625,-4.234375,1.42578125
1.53471E+12,-4.164550781,-3.993164063,1.109375
1.53471E+12,-3.1796875,-2.50390625,1.109375
1.53471E+12,-2.926757813,-1.86328125,0.630371094
1.53471E+12,-2.583984375,-1.655761719,0.204589844
1.53471E+12,-2.204101563,-1.538085938,-0.106445313
1.53471E+12,-1.797363281,-1.678710938,-0.232910156
1.53471E+12,-1.512695313,-1.947753906,-0.347167969
1.53471E+12,-1.383789063,-2.206054688,-0.498535156
1.53471E+12,-1.296386719,-2.2734375,-0.521972656
1.53471E+12,-1.264648438,-2.259765625,-0.489257813
1.53471E+12,-1.317382813,-2.230957031,-0.528320313
1.53471E+12,-1.3984375,-2.231933594,-0.586914063
1.53471E+12,-1.432617188,-2.125488281,-0.591308594
1.53471E+12,-1.36328125,-2.017089844,-0.504394531
1.53471E+12,-1.328613281,-1.983886719,-0.443847656
1.53471E+12,-1.505859375,-2.032714844,-0.36328125
1.53471E+12,-1.614746094,-2.222167969,-0.255371094
1.53471E+12,-1.27734375,-2.430664063,-0.33203125
1.53471E+12,-0.554199219,-2.40625,-0.379882813
1.53471E+12,0.883789063,-2.211914063,-0.751464844
1.53471E+12,2.89453125,-1.689453125,-1.562011719
1.53471E+12,5.006835938,-1.444335938,-3.581054688
1.53471E+12,7.535644531,-1.15234375,-5.337890625
1.53471E+12,6.666015625,-0.66015625,-4.556640625
1.53471E+12,3.406738281,-0.895996094,-2.800292969
1.53471E+12,0.478515625,-1.568847656,-1.26953125
1.53471E+12,-0.822753906,-2.298339844,-0.405273438
1.53471E+12,-1.51171875,-2.974121094,-0.317382813
1.53471E+12,-2.782714844,-3.342285156,-0.061523438
1.53471E+12,-2.904296875,-3.106445313,0.297363281
1.53471E+12,-2.502441406,-2.634277344,0.416992188
1.53471E+12,-1.911132813,-2.31640625,0.217773438
1.53471E+12,-1.959960938,-2.155761719,0.116699219
1.53471E+12,-1.926757813,-2.048828125,0.231445313
1.53471E+12,-1.598144531,-1.917480469,0.302734375
1.53471E+12,-1.288574219,-1.853515625,0.084960938
1.53471E+12,-1.458007813,-1.938964844,0.049316406
1.53471E+12,-1.434570313,-2.034667969,0.290039063
1.53471E+12,-1.281738281,-2.007324219,0.740234375
1.53471E+12,-1.249023438,-1.808105469,1.139648438
1.53471E+12,-1.284179688,-1.861816406,1.618652344
0,0,0,0
1.53471E+12,-1.053710938,-2.196289063,2.069824219
1.53471E+12,-1.161621094,-2.004882813,2.176757813
1.53471E+12,-3.186523438,-1.829589844,4.105957031
1.53471E+12,-4.481933594,-1.902832031,5.637207031
1.53471E+12,-3.12890625,-3.622070313,3.755371094
1.53471E+12,-2.965332031,-5.189453125,2.375
1.53471E+12,-3.837402344,-4.342773438,1.374511719
1.53471E+12,-3.873535156,-2.994628906,0.582519531
1.53471E+12,-3.377929688,-2.020507813,0.206054688
1.53471E+12,-2.522949219,-1.637695313,0.254394531
1.53471E+12,-1.924804688,-1.544433594,0.270507813
1.53471E+12,-1.837890625,-1.555664063,0.145507813
1.53471E+12,-1.821289063,-1.756835938,-0.0625
1.53471E+12,-1.741699219,-2.096191406,-0.229980469
1.53471E+12,-1.638671875,-2.303222656,-0.335449219
1.53471E+12,-1.455566406,-2.235351563,-0.364257813
1.53471E+12,-1.376464844,-2.082519531,-0.389160156
1.53471E+12,-1.44140625,-1.949707031,-0.423339844
1.53471E+12,-1.509765625,-1.924316406,-0.381835938
1.53471E+12,-1.526855469,-1.904785156,-0.221679688
1.53471E+12,-1.457519531,-1.802246094,-0.043945313
1.53471E+12,-1.416015625,-1.778808594,0.055175781
1.53471E+12,-1.421875,-1.994628906,0.080566406
1.53471E+12,-1.020019531,-2.067382813,-0.079589844
1.53471E+12,-0.174804688,-1.922363281,-0.454589844
1.53471E+12,1.096191406,-1.596679688,-1.095703125
1.53471E+12,2.653320313,-1.204589844,-2.104492188
1.53471E+12,4.719238281,-0.787109375,-3.282226563
1.53471E+12,4.673828125,-0.216308594,-3.720214844
1.53471E+12,5.44921875,-0.557128906,-3.6640625
1.53471E+12,4.337402344,-0.565429688,-2.837402344
1.53471E+12,1.73046875,-1.083984375,-1.54296875
1.53471E+12,-0.142089844,-2.018066406,-0.614257813
1.53471E+12,-0.963378906,-2.698242188,-0.395507813
1.53471E+12,-2.287109375,-2.645996094,-0.502441406
1.53471E+12,-2.468261719,-2.896972656,-0.142089844
1.53471E+12,-2.242675781,-2.685058594,0.414550781
1.53471E+12,-2.233398438,-2.180175781,0.354492188
1.53471E+12,-2.391113281,-1.96875,0.161132813
1.53471E+12,-2.127441406,-1.7265625,0.208007813
1.53471E+12,-1.742675781,-1.419921875,0.1953125
1.53471E+12,-1.467285156,-1.297363281,0.125976563
1.53471E+12,-1.430175781,-1.312988281,0.093261719
1.53471E+12,-1.312988281,-1.373535156,0.087890625
1.53471E+12,-1.136230469,-1.443847656,0.060058594
1.53471E+12,-1.198242188,-1.643066406,0.020019531
0,0,0,0
1.53471E+12,-1.289550781,-2.015625,0.444335938
1.53471E+12,-1.55859375,-2.122558594,1.058105469
1.53471E+12,-1.630859375,-2.44921875,1.54296875
1.53471E+12,-2.491699219,-3.534667969,2.762695313
1.53471E+12,-3.353515625,-4.424804688,3.744140625
1.53471E+12,-3.912109375,-4.376464844,4.549316406
1.53471E+12,-3.7890625,-3.598632813,5.412597656
1.53471E+12,-1.711914063,-3.533203125,4.100097656
1.53471E+12,-1.859863281,-2.926757813,2.838867188
1.53471E+12,-2.101074219,-2.233886719,1.916503906
1.53471E+12,-2.281738281,-1.753417969,0.9453125
1.53471E+12,-2.297363281,-1.412109375,0.568359375
1.53471E+12,-2.062011719,-1.512695313,0.287597656
1.53471E+12,-1.844238281,-1.830078125,-0.0859375
1.53471E+12,-1.610351563,-2.112792969,-0.202636719
1.53471E+12,-1.600097656,-2.193847656,-0.228027344
1.53471E+12,-1.585449219,-2.10546875,-0.314941406
1.53471E+12,-1.734863281,-2.0234375,-0.380859375
1.53471E+12,-1.94921875,-2.087890625,-0.470214844
1.53471E+12,-2.008300781,-2.211914063,-0.562011719
1.53471E+12,-1.964355469,-2.141601563,-0.594238281
1.53471E+12,-1.817382813,-2.010253906,-0.609375
1.53471E+12,-1.849121094,-1.859863281,-0.678710938
1.53471E+12,-2.123535156,-1.856445313,-0.908691406
1.53471E+12,-2.041503906,-1.964355469,-1.069335938
1.53471E+12,-0.966796875,-2.104492188,-0.586914063
1.53471E+12,1.354003906,-2.002929688,0.262695313
1.53471E+12,4.39453125,-1.440429688,-0.253417969
1.53471E+12,6.356445313,-1.074707031,-2.062011719
1.53471E+12,8.013671875,-1.736816406,-2.77734375
1.53471E+12,6.144042969,-1.933105469,-1.70703125
1.53471E+12,3.380371094,-1.677734375,-1.229980469
1.53471E+12,1.077148438,-1.979492188,-1.098144531
1.53471E+12,-0.788574219,-2.53125,-0.987792969
1.53471E+12,-2.05078125,-2.642578125,-0.557128906
1.53471E+12,-2.052246094,-2.4375,-0.159179688
1.53471E+12,-2.650390625,-1.979003906,-0.440429688
1.53471E+12,-2.757324219,-1.596191406,-0.596679688
1.53471E+12,-2.335449219,-1.412597656,-0.5
1.53471E+12,-2.051269531,-1.40234375,-0.39453125
1.53471E+12,-1.783203125,-1.336425781,-0.28125
1.53471E+12,-1.634277344,-1.300292969,-0.265625
1.53471E+12,-1.557617188,-1.360839844,-0.377929688
1.53471E+12,-1.642089844,-1.47265625,-0.385253906
1.53471E+12,-1.589355469,-1.618164063,-0.212402344
1.53471E+12,-1.497070313,-1.680664063,0.045410156
1.53471E+12,-1.563476563,-1.723632813,0.399902344
1.53471E+12,-1.687988281,-1.635742188,0.951171875
0,0,0,0
1.53471E+12,-2.126953125,-1.555175781,1.658691406
1.53471E+12,-2.861328125,-1.936035156,2.337402344
1.53471E+12,-3.664550781,-2.458984375,2.889160156
1.53471E+12,-4.854492188,-3.262695313,3.470703125
1.53471E+12,-5.555664063,-3.732421875,3.594726563
1.53471E+12,-5.065917969,-3.153320313,3.489257813
1.53471E+12,-4.350097656,-2.862304688,2.637207031
1.53471E+12,-3.76953125,-2.437011719,1.732421875
1.53471E+12,-3.124511719,-1.796875,1.241210938
1.53471E+12,-2.664550781,-1.519042969,0.71875
1.53471E+12,-2.313476563,-1.457519531,0.190429688
1.53471E+12,-2.013183594,-1.627441406,-0.159179688
1.53471E+12,-1.758789063,-1.808105469,-0.368652344
1.53471E+12,-1.703125,-1.900390625,-0.461425781
1.53471E+12,-1.721679688,-1.97265625,-0.395507813
1.53471E+12,-1.774902344,-2.048339844,-0.4140625
1.53471E+12,-1.90234375,-2.098144531,-0.559082031
1.53471E+12,-1.98046875,-2.148925781,-0.645019531
1.53471E+12,-2.030273438,-2.185546875,-0.636230469
1.53471E+12,-2.0859375,-2.180175781,-0.625488281
1.53471E+12,-2.198242188,-2.170898438,-0.687011719
1.53471E+12,-2.354492188,-2.228515625,-0.719238281
1.53471E+12,-2.274902344,-2.324707031,-0.6328125
1.53471E+12,-1.732910156,-2.420898438,-0.543945313
1.53471E+12,-0.314941406,-2.391113281,-0.822265625
1.53471E+12,1.766601563,-1.853515625,-1.60546875
1.53471E+12,3.877929688,-1.323242188,-2.06640625
1.53471E+12,5.560546875,-1.307128906,-3.059082031
1.53471E+12,6.671386719,-1.470703125,-3.776367188
1.53471E+12,5.704589844,-1.240722656,-3.560546875
1.53471E+12,4.223144531,-1.253417969,-2.672363281
1.53471E+12,1.88671875,-1.666992188,-1.375488281
1.53471E+12,-0.201171875,-1.990722656,-0.538574219
1.53471E+12,-1.101074219,-2.086425781,-0.288574219
1.53471E+12,-1.916015625,-2.161621094,-0.407714844
1.53471E+12,-2.673828125,-2.467773438,-0.245117188
1.53471E+12,-2.879882813,-2.242675781,0.022460938
1.53471E+12,-2.740234375,-1.861328125,0.006835938
1.53471E+12,-2.614257813,-1.680175781,0.023925781
1.53471E+12,-2.336914063,-1.556640625,0.163574219
1.53471E+12,-2.107910156,-1.450683594,0.196289063
1.53471E+12,-1.915039063,-1.341796875,0.227050781
1.53471E+12,-1.620605469,-1.335449219,0.395507813
0,0,0,0
1.53471E+12,-1.461914063,-1.387695313,0.629394531
1.53471E+12,-1.375976563,-1.468261719,0.690429688
1.53471E+12,-1.048339844,-1.626464844,0.775878906
1.53471E+12,-0.797851563,-1.725585938,1.435546875
1.53471E+12,-0.849609375,-1.656738281,2.898925781
1.53471E+12,-0.500976563,-1.630371094,3.809082031
1.53471E+12,-1.135253906,-2.093261719,4.609863281
1.53471E+12,-2.549804688,-2.537597656,5.750976563
1.53471E+12,-2.556152344,-3.036132813,5.967773438
1.53471E+12,-1.767578125,-4.081054688,4.981445313
1.53471E+12,-2.208007813,-4.168457031,3.659667969
1.53471E+12,-3.201171875,-3.013671875,2.504882813
1.53471E+12,-3.40234375,-1.926757813,1.764648438
1.53471E+12,-2.802246094,-1.520996094,1.317871094
1.53471E+12,-2.077148438,-1.4453125,0.896972656
1.53471E+12,-1.701171875,-1.456054688,0.552734375
1.53471E+12,-1.548339844,-1.627441406,0.287597656
1.53471E+12,-1.687988281,-1.7734375,0.062988281
1.53471E+12,-1.748046875,-1.943847656,-0.036132813
1.53471E+12,-1.687988281,-2.030273438,-0.056152344
1.53471E+12,-1.84375,-2.01171875,-0.151367188
1.53471E+12,-1.738769531,-2.042480469,-0.107910156
1.53471E+12,-1.62109375,-2.016601563,-0.09375
1.53471E+12,-1.680175781,-1.942382813,-0.153320313
1.53471E+12,-1.583496094,-1.870605469,-0.249023438
1.53471E+12,-1.628417969,-1.846191406,-0.235839844
1.53471E+12,-1.626953125,-1.958984375,-0.076660156
1.53471E+12,-1.031738281,-2.169921875,-0.032714844
1.53471E+12,0.419433594,-1.97265625,-0.30078125
1.53471E+12,2.401367188,-1.556640625,-0.7421875
1.53471E+12,4.045410156,-0.685058594,-1.529296875
1.53471E+12,5.870605469,-0.317382813,-2.288085938
1.53471E+12,6.402832031,-0.518554688,-2.110351563
1.53471E+12,5.163085938,-0.591308594,-1.892089844
1.53471E+12,3.609375,-0.819335938,-1.614257813
1.53471E+12,1.786132813,-1.610351563,-0.930664063
1.53471E+12,0.230957031,-2.213867188,-0.51171875
1.53471E+12,-0.879882813,-2.642578125,-0.378417969
1.53471E+12,-1.892089844,-2.888183594,-0.340820313
1.53471E+12,-2.381347656,-2.791015625,-0.424316406
1.53471E+12,-2.495605469,-2.569335938,-0.168457031
1.53471E+12,-2.369628906,-2.291015625,0.018066406
1.53471E+12,-2.303710938,-2.106933594,-0.057128906
1.53471E+12,-2.200195313,-1.973144531,-0.111816406
1.53471E+12,-2.070800781,-1.8515625,-0.049804688
1.53471E+12,-1.826660156,-1.74609375,0.023925781
1.53471E+12,-1.690917969,-1.694824219,0.039550781
1.53471E+12,-1.563476563,-1.723144531,0.021972656
1.53471E+12,-1.439941406,-1.668457031,0.194824219
0,0,0,0
1.53471E+12,-1.177734375,-1.283203125,0.603027344
1.53471E+12,-1.353027344,-0.771972656,0.930175781
1.53471E+12,-2.665039063,-1.212402344,1.940917969
1.53471E+12,-3.948730469,-2.195800781,3.052246094
1.53471E+12,-5.484375,-2.399414063,3.161132813
1.53471E+12,-6.408691406,-2.470214844,2.911132813
1.53471E+12,-6.107421875,-2.987304688,1.895019531
1.53471E+12,-5.608398438,-3.567382813,0.748535156
1.53471E+12,-4.517089844,-3.317382813,0.209472656
1.53471E+12,-3.447753906,-2.34375,0.373046875
1.53471E+12,-2.892089844,-1.544921875,0.344238281
1.53471E+12,-2.603515625,-1.255859375,-0.052246094
1.53471E+12,-2.403808594,-1.25,-0.333984375
1.53471E+12,-2.153808594,-1.447265625,-0.473632813
1.53471E+12,-1.770996094,-1.684082031,-0.578613281
1.53471E+12,-1.578125,-1.928710938,-0.661132813
1.53471E+12,-1.571777344,-2.082519531,-0.690917969
1.53471E+12,-1.659667969,-2.127929688,-0.690917969
1.53471E+12,-1.76953125,-2.090820313,-0.733886719
