epoch,x,y,z
0,0,0,0
1.53E+12,-2.336425781,-3.130859375,3.520996094
1.53E+12,-2.574707031,-3.483886719,4.837890625
1.53E+12,-2.456542969,-3.731445313,5.716796875
1.53E+12,-1.476074219,-3.875,5.263183594
1.53E+12,-1.475097656,-4.041992188,3.362304688
1.53E+12,-2.233886719,-3.352539063,2.365722656
1.53E+12,-2.376464844,-2.293945313,1.754882813
1.53E+12,-2.134765625,-1.711914063,1.303710938
1.53E+12,-1.822753906,-1.573730469,0.936523438
1.53E+12,-1.534667969,-1.5703125,0.600585938
1.53E+12,-1.439941406,-1.570800781,0.299804688
1.53E+12,-1.479980469,-1.568847656,0.056152344
1.53E+12,-1.532226563,-1.624511719,-0.092773438
1.53E+12,-1.656738281,-1.710449219,-0.134765625
1.53E+12,-1.745605469,-1.815429688,-0.107421875
1.53E+12,-1.673339844,-1.919433594,-0.078125
1.53E+12,-1.852050781,-1.981933594,-0.155761719
1.53E+12,-1.983398438,-1.999023438,-0.235351563
1.53E+12,-1.872558594,-1.966796875,-0.159667969
1.53E+12,-1.836914063,-1.895507813,-0.065429688
1.53E+12,-1.809570313,-1.873535156,-0.066894531
1.53E+12,-1.622070313,-1.822753906,-0.170898438
1.53E+12,-0.942871094,-1.715820313,-0.425292969
1.53E+12,0.892578125,-1.68359375,-1.073730469
1.53E+12,2.568847656,-1.312988281,-1.322753906
1.53E+12,4.714355469,-1.084960938,-1.682128906
1.53E+12,6.288085938,-1.332519531,-3.0234375
1.53E+12,6.151367188,-1.69140625,-3.062011719
1.53E+12,3.955566406,-1.832519531,-2.091796875
1.53E+12,1.754394531,-2.048339844,-0.900878906
1.53E+12,-0.6953125,-2.53125,-0.725585938
1.53E+12,-1.83203125,-2.561523438,-0.8984375
1.53E+12,-2.469238281,-2.338378906,-0.60546875
1.53E+12,-2.463378906,-2.0546875,-0.204589844
1.53E+12,-2.25,-1.783203125,0.010253906
1.53E+12,-2.224609375,-1.63671875,-0.215332031
1.53E+12,-2.206542969,-1.488769531,-0.498535156
1.53E+12,-2.202148438,-1.442871094,-0.422363281
1.53E+12,-2.004394531,-1.44921875,-0.200683594
1.53E+12,-1.798828125,-1.461914063,-0.048828125
1.53E+12,-1.507324219,-1.483398438,-0.046875
1.53E+12,-1.422851563,-1.55859375,-0.169921875
1.53E+12,-1.590332031,-1.678710938,-0.014160156
1.53E+12,-1.653320313,-1.674804688,0.70703125
1.53E+12,-1.712890625,-1.707519531,1.913085938
1.53E+12,-1.533203125,-1.760742188,2.3125
1.53E+12,-1.785644531,-2.555664063,2.397949219
1.53E+12,-2.326660156,-3.700683594,3.71484375
0,0,0,0
1.53E+12,-2.685546875,-4.078125,4.409179688
1.53E+12,-2.517089844,-3.852050781,4.390625
1.53E+12,-2.004394531,-3.809082031,3.574707031
1.53E+12,-1.859863281,-3.216796875,2.645996094
1.53E+12,-1.915039063,-2.215332031,2.099121094
1.53E+12,-1.905273438,-1.563476563,1.6875
1.53E+12,-1.813964844,-1.230957031,1.255859375
1.53E+12,-1.678710938,-1.237792969,0.847167969
1.53E+12,-1.517089844,-1.34765625,0.508300781
1.53E+12,-1.400878906,-1.504882813,0.249511719
1.53E+12,-1.497558594,-1.688476563,0.0390625
1.53E+12,-1.651855469,-1.776367188,-0.057617188
1.53E+12,-1.752441406,-1.904296875,-0.060058594
1.53E+12,-1.890625,-2.016113281,-0.068847656
1.53E+12,-2.0078125,-2.067871094,-0.177734375
1.53E+12,-2.134277344,-2.080078125,-0.281738281
1.53E+12,-2.005859375,-2.08203125,-0.215820313
1.53E+12,-2.002441406,-2.033691406,-0.127441406
1.53E+12,-1.982910156,-2.001464844,-0.145996094
