epoch,x,y,z
0,0,0,0
1.53471E+12,-1.974609375,-2.280761719,1.016113281
1.53471E+12,-2.637207031,-3.006835938,2.202636719
1.53471E+12,-2.104003906,-4.037597656,3.110839844
1.53471E+12,-1.392089844,-5.569824219,3.380371094
1.53471E+12,-0.516601563,-6.252929688,3.173828125
1.53471E+12,0.303710938,-5.584960938,2.532714844
1.53471E+12,-0.881835938,-3.896484375,1.489746094
1.53471E+12,-1.242675781,-2.980957031,1.103515625
1.53471E+12,-1.116699219,-2.38671875,0.796386719
1.53471E+12,-1.193847656,-1.859863281,0.393554688
1.53471E+12,-1.319335938,-1.637695313,-0.049804688
1.53471E+12,-1.071777344,-1.803710938,-0.414550781
1.53471E+12,-0.857421875,-2.136230469,-0.623535156
1.53471E+12,-0.69140625,-2.135253906,-0.677734375
1.53471E+12,-0.691894531,-2.131347656,-0.579589844
1.53471E+12,-0.871582031,-2.199707031,-0.509765625
1.53471E+12,-0.991699219,-2.34375,-0.644042969
1.53471E+12,-0.88671875,-2.502929688,-0.849121094
1.53471E+12,-0.766113281,-2.558105469,-0.752441406
1.53471E+12,-0.746582031,-2.522949219,-0.598632813
1.53471E+12,-0.60546875,-2.231445313,-0.55078125
1.53471E+12,-0.319824219,-1.863769531,-0.517089844
1.53471E+12,1.041503906,-1.489746094,-0.483398438
1.53471E+12,3.134765625,-0.724609375,-0.739746094
1.53471E+12,3.41796875,0.299316406,-1.01953125
1.53471E+12,5.086425781,0.714355469,-1.12890625
1.53471E+12,5.883300781,0.114746094,-1.249023438
1.53471E+12,3.709472656,0.540527344,-1.201660156
1.53471E+12,1.807617188,-0.272460938,-0.615722656
1.53471E+12,0.614257813,-1.497558594,-0.486328125
1.53471E+12,-0.498046875,-2.934570313,-0.663574219
1.53471E+12,-1.268066406,-2.435058594,-0.509765625
1.53471E+12,-1.224609375,-2.036132813,-0.375
1.53471E+12,-1.228027344,-2.208007813,-0.428710938
1.53471E+12,-0.917480469,-2.146484375,-0.633789063
1.53471E+12,-0.659179688,-2.109375,-0.668945313
1.53471E+12,-0.791992188,-2.020019531,-0.577148438
1.53471E+12,-0.911132813,-1.859863281,-0.579589844
1.53471E+12,-0.946777344,-1.790527344,-0.633300781
1.53471E+12,-1.002929688,-1.742675781,-0.579101563
1.53471E+12,-1.077636719,-1.743164063,-0.431152344
1.53471E+12,-1.142089844,-1.819824219,-0.134765625
0,0,0,0
1.53471E+12,-1.315917969,-1.927734375,0.316894531
1.53471E+12,-1.775878906,-2.509765625,0.513671875
1.53471E+12,-2.749511719,-4.068847656,1.219238281
1.53471E+12,-3.669433594,-5.084472656,3.298828125
1.53471E+12,-2.964355469,-6.380859375,4.491210938
1.53471E+12,-1.431640625,-6.877441406,3.763671875
