epoch,x,y,z
0,0,0,0
1.53471E+12,-1.824707031,-1.981445313,2.264648438
1.53471E+12,-2.854492188,-2.28515625,3.644042969
1.53471E+12,-3.389648438,-1.503417969,4.422851563
1.53471E+12,-3.215820313,-1.698242188,3.895507813
1.53471E+12,-2.781738281,-3.192871094,2.864257813
1.53471E+12,-2.807128906,-4.086425781,2.307128906
1.53471E+12,-3.189453125,-3.903808594,1.808105469
1.53471E+12,-3.4453125,-2.934570313,1.482421875
1.53471E+12,-2.940429688,-2.028320313,1.272460938
1.53471E+12,-2.50390625,-1.660644531,0.916015625
1.53471E+12,-2.118164063,-1.462402344,0.657714844
1.53471E+12,-1.813476563,-1.28125,0.479492188
1.53471E+12,-1.684570313,-1.354980469,0.337402344
1.53471E+12,-1.599121094,-1.514648438,0.114257813
1.53471E+12,-1.54296875,-1.668457031,-0.077148438
1.53471E+12,-1.495117188,-1.779296875,-0.089355469
1.53471E+12,-1.614746094,-1.890625,-0.03515625
1.53471E+12,-1.749511719,-1.958496094,-0.043457031
1.53471E+12,-1.731445313,-1.978027344,-0.181152344
1.53471E+12,-1.747558594,-1.86328125,-0.240234375
1.53471E+12,-1.832519531,-1.787597656,-0.146484375
1.53471E+12,-1.932617188,-1.916015625,-0.065429688
1.53471E+12,-2.177246094,-1.983886719,0.036132813
1.53471E+12,-2.093261719,-1.968261719,0.057617188
1.53471E+12,-0.973144531,-2.089355469,-0.143066406
1.53471E+12,0.591796875,-2.028320313,-0.5703125
1.53471E+12,2.377441406,-2.118164063,-0.645996094
1.53471E+12,4.849121094,-1.990234375,-1.103027344
1.53471E+12,6.996582031,-1.77734375,-2.317382813
1.53471E+12,6.803710938,-1.714355469,-2.247070313
1.53471E+12,5.227539063,-1.670410156,-1.776367188
1.53471E+12,3.089355469,-1.676269531,-1.299316406
1.53471E+12,0.891113281,-1.932128906,-0.826660156
1.53471E+12,-0.71484375,-2.240722656,-0.568359375
1.53471E+12,-1.782714844,-2.475097656,-0.591796875
1.53471E+12,-2.446777344,-2.517578125,-0.883789063
1.53471E+12,-2.581542969,-2.395019531,-0.579589844
1.53471E+12,-2.148925781,-2.160644531,-0.081054688
1.53471E+12,-1.753417969,-1.932128906,0.01953125
1.53471E+12,-1.739746094,-1.875488281,-0.077148438
1.53471E+12,-1.967773438,-1.973144531,-0.233398438
1.53471E+12,-1.860839844,-2.064453125,-0.342285156
1.53471E+12,-1.579101563,-2.201660156,-0.359375
1.53471E+12,-1.455566406,-2.270507813,-0.208007813
1.53471E+12,-1.483886719,-2.286621094,0.046875
1.53471E+12,-1.450195313,-2.232910156,0.354003906
0,0,0,0
1.53471E+12,-1.364257813,-2.139648438,0.736816406
1.53471E+12,-1.296386719,-1.970214844,1.124023438
1.53471E+12,-1.377929688,-1.923828125,1.832519531
1.53471E+12,-1.534667969,-2.3046875,2.635253906
1.53471E+12,-2.155273438,-3.235351563,3.922363281
1.53471E+12,-3.140625,-4.17578125,5.491699219
1.53471E+12,-3.573242188,-3.971679688,6.279296875
1.53471E+12,-2.705078125,-3.736328125,5.312011719
1.53471E+12,-2.2265625,-3.463867188,3.753417969
1.53471E+12,-2.463378906,-2.406738281,2.90234375
1.53471E+12,-2.282714844,-1.842285156,2.090820313
1.53471E+12,-2.13671875,-1.771972656,1.346191406
1.53471E+12,-1.767578125,-1.998046875,0.756347656
1.53471E+12,-1.453125,-2.178222656,0.344238281
1.53471E+12,-1.313476563,-2.306152344,0.081542969
1.53471E+12,-1.377441406,-2.34375,-0.033203125
1.53471E+12,-1.452636719,-2.327148438,-0.053222656
